summary,sentiment,label
"I stand here today at the crosscurrents of history, knowing that my American dream is a blessing earned by those before me. It is the same conviction that drove my dad to wake up early for work, as well as the many men and women across the country who work tirelessly for their families. From military families with empty seats at the table to servicemen and women who sacrifice for their country, to young people serving our communities, we are all driven by the belief that the world can be better. This belief connects us all and runs through our journeys, including Hillary Clinton's and Joe Biden's. It is why I love this country.",8.0,positive
"I don't care what you think, I care what the internet thinks. Most people talk to the wrong audience. Attention spans are gone, we killed them. Keep TED talks quick, under a minute. One final joke: Why are balloons so expensive? Inflation.",3.0,negative
"Stereotypes cannot protect us from the HIV virus. We must acknowledge the humanity of those affected and treat them with compassion. Isolation and discrimination do not benefit anyone. We must be consistent in our actions and beliefs, addressing prejudice and teaching our children. We must raise awareness because no one is truly safe. We are a nation at risk if we do not fully embrace this message.",7.5,positive
"That man says women should be helped and given the best place everywhere. But nobody helps me or gives me the best place. Look at me! I have worked hard, ploughed, planted, and gathered. I can work as much as a man and bear the lash. I have borne thirteen children and cried out in grief, only Jesus heard me. If the first woman could turn the world upside down, these women can turn it back. Men should let them do it.",7.0,positive
"The government aims to bring Jorge Glass to national territory, respecting his right to asylum. The specific date depends on Ecuador's approval and the ongoing procedures. Mexico has a longstanding policy of protecting political refugees, regardless of accusations. Historical examples include providing shelter to those fleeing the Spanish Civil War and Hitler's persecution of the Jews. In recent times, Mexico stepped in to help Evo Morales during a coup in Bolivia, despite facing airspace restrictions. It is disheartening that certain right-wing governments do not uphold international law, human rights, and universal fraternity. Despite differences, Ecuador is a remarkable nation with rich culture and diversity, including indigenous populations and kind people along its coast. However, they are currently facing violence, which was not prevalent during Correa's presidency.",4.5,negative
"I'm an actress because this speech is written on the back of sides. Beverly Hills is weird but I am honored to be part of WWE. Close your eyes, think about children. Many children in the world have nothing. We should help them. Being of service feels good, it's selfishly good for your ego. Nothing is too big, tackle problems in small ways. Live in the present moment and be around people who do things. Every child should feel like the center of the universe. Teach children that they are beautiful and loved. The goal is for an orphan supported by WWE to receive this award. Thank you to everyone involved, especially the strong women in the room. Giving to charity is good for your skin and makes your ass smaller.",9.0,positive
"Do you consider this season a failure? Every year, you work towards something, just like getting a promotion at work. It's not a failure, it's steps to success. There's no failure in sports, just good and bad days. Sometimes you win, sometimes you don't. Next year, we'll come back stronger and aim for a championship.",6.0,positive
"Today, I have an important announcement. The problems in Salvador are not only structural, but also affect every citizen. They have various consequences, but they are essential for our success. Therefore, tonight, we declare war against corruption. The general fiscal is currently seizing the possessions of those involved in corruption. We will fight corruption at all levels, starting with politicians who have harmed our country. Traitors! The people will hold them accountable. Salvador will no longer be controlled by anyone. With God and the people by our side, we will achieve this. Salvador is now a different country. This is just the beginning. We are not the same. God bless you all. Thank you very much.",4.0,negative
"Today marks the beginning of a new era in Argentina, where we leave behind a long history of decline and embark on the path of reconstruction. We are not looking back; we bid farewell to decades of failure, conflicts, and tensions. Only those who have brought ruin to our cherished nation are being left behind. The old model, which prioritized the interests of politicians over those of citizens, has failed, not just in our country but worldwide.",4.5,negative
"I am here to say that the accident is in danger due to leaders in the Western world abandoning freedom capitalism for collectivism. This shift is motivated by a desire to help the progeny and belong to a privileged caste. However, freedom capitalism is the only economic tool to end hunger, poverty, and indigence. Capitalism is attacked by left-wing societies for its supposed immorality and unfairness. They claim collectivism is good and promotes social justice, but it is actually violent and unfair due to coercive taxes. Radical feminism and greater state intervention further hinder progress. Socialists also prioritize protecting the planet at all costs, including government control and promoting abortion. Neo-Marxists have undermined common sense through media, culture, universities, and international organizations. Long live freedom and touch.",4.0,negative
"I want to tell you a story about a patient at my hospital, Mrs. C. She was 87 years old, a Holocaust survivor from Germany, and came to the emergency room because she lost vision in her left eye. She had a difficult life, but maintained good health. After tests, it was discovered she had a blockage in her carotid artery. Despite her fear, she chose to have surgery. The operation went well, but she developed a complication afterwards. Her stomach had twisted and ruptured. This condition is usually fatal, but she survived. This story is relevant to all of us because it shows the importance of handling complexity and uncertainty. We all face risks, but it's how we handle failure that matters. The best surgeons are not ones who never fail, but ones who rescue when things go wrong. This applies to all areas of life, including national policy. The key to rescuing is recognizing when plans are failing and adapting. Confidence is important in taking risks, but we must also be prepared for failure. Mrs. C's surgeons were prepared and able to rescue her from catastrophe. Despite her vision loss, she is leading a good life. Failure does not have to be permanent if we are willing to rescue and set things right. Triumph is not just about taking risks, but about mastering rescue.",8.0,positive
